# prefix,country_code,region_code,city,postal_code
212.192.28.0/24,US,US-VA,Ashburn,20191
78.108.218.0/24,US,US-VA,Ashburn,20191
212.192.29.0/24,US,US-TX,Dallas,75201
193.31.31.0/24,US,US-TX,Dallas,75201
23.27.211.0/24,US,US-TX,Dallas,75201
23.230.3.0/24,US,US-FL,Miami,33132
216.173.77.0/24,US,US-FL,Miami,33132
163.227.179.0/24,US,US-FL,Miami,33132
45.43.163.0/24,FR,FR-IDF,Paris,93200
208.87.101.0/24,FR,FR-IDF,Paris,93200
38.46.216.0/24,US,US-UT,Salt Lake City,84020
136.0.251.0/24,US,US-UT,Salt Lake City,84020
163.227.178.0/24,AU,AU-NSW,Sydney,2015
2602:fa87:7::/48,US,US-TX,Dallas,75201
2602:fa87:1::/48,US,US-FL,Miami,33132
2602:fa87:6::/48,FR,FR-IDF,Paris,93200
2602:fa87:5::/48,US,US-UT,Salt Lake City,84020
2602:fa87:3::/48,AU,AU-NSW,Sydney,2015
23.230.3.234/32,DE,DE-HE,Frankfurt,60314
